,id,score
9478,3499,62.35
9477,8224,62.360000000000014
9476,9343,62.370000000000005
9475,6846,62.370000000000005
9474,555,62.370000000000005
9473,5462,62.400000000000006
9472,5998,62.42
9471,602,62.45
9470,2976,62.46
9469,5408,62.480000000000004
9468,1052,62.49
9467,800,62.49
9466,342,62.49000000000001
9465,2347,62.50000000000001
9464,313,62.510000000000005
9463,7359,62.510000000000005
9462,5751,62.52
9461,2134,62.54
9460,1487,62.55000000000001
9459,1449,62.55000000000001
9458,8436,62.55000000000001
9457,481,62.57000000000001
9456,4869,62.59
9455,2483,62.59
9454,2952,62.59
9453,9088,62.61
9452,4503,62.61000000000001
9451,669,62.610000000000014
9450,2152,62.610000000000014
9449,1410,62.610000000000014
9448,2970,62.620000000000005
9447,3114,62.64000000000001
9446,3539,62.66
9445,3502,62.67
9444,6460,62.67
9443,2928,62.68
9442,3577,62.7
9441,167,62.72
9440,1512,62.730000000000004
9439,4896,62.730000000000004
9438,2001,62.74000000000001
9437,2458,62.74000000000001
9436,2929,62.75000000000001
9435,7179,62.76
9434,575,62.760000000000005
9433,1334,62.790000000000006
9432,1146,62.790000000000006
9431,1672,62.8
9430,212,62.800000000000004
9429,3050,62.80000000000001
9428,5200,62.81000000000001
9427,1012,62.81000000000001
9426,1915,62.82000000000001
9425,3140,62.82000000000001
9424,4069,62.86000000000001
9423,1035,62.86000000000001
9422,1550,62.860000000000014
9421,73,62.870000000000005
9420,3388,62.879999999999995
9419,5777,62.88
9418,5321,62.88000000000001
9417,1705,62.88000000000001
9416,4804,62.910000000000004
9415,5941,62.92
9414,4813,62.92
9413,2361,62.93000000000001
9412,2598,62.94000000000001
9411,4455,62.95
9410,3047,62.96000000000001
9409,1673,62.97
9408,3830,62.99
9407,8291,63.0
9406,8043,63.01000000000002
9405,833,63.02
9404,2402,63.050000000000004
9403,3410,63.07
9402,381,63.07000000000001
9401,3536,63.08
9400,9269,63.08000000000001
9399,3714,63.09
9398,3185,63.09
9397,2286,63.09
9396,892,63.1
9395,548,63.11000000000001
9394,1373,63.11000000000001
9393,9822,63.120000000000005
9392,9686,63.13
9391,6259,63.13000000000001
9390,3344,63.14
9389,9523,63.150000000000006
9388,4703,63.150000000000006
9387,7609,63.150000000000006
9386,197,63.160000000000004
9385,8508,63.17
9384,4882,63.17000000000001
9383,3219,63.17000000000001
9382,2339,63.17000000000001
9381,1788,63.190000000000005
9380,6039,63.190000000000005
9379,4262,63.21000000000001
9378,3150,63.220000000000006
9377,9075,63.220000000000006
9376,1444,63.22000000000001
9375,9999,63.230000000000004
9374,5636,63.230000000000004
9373,4386,63.23000000000001
9372,980,63.24000000000001
9371,3339,63.27
9370,4968,63.27
9369,1023,63.28
9368,4182,63.290000000000006
9367,4308,63.290000000000006
9366,3828,63.300000000000004
9365,8356,63.30000000000001
9364,600,63.35000000000001
9363,9729,63.36
9362,1742,63.360000000000014
9361,5985,63.39000000000001
9360,7408,63.4
9359,3819,63.410000000000004
9358,3552,63.42
9357,2808,63.42000000000001
9356,9041,63.43000000000001
9355,757,63.44
9354,3474,63.440000000000005
9353,4626,63.44000000000001
9352,1096,63.45
9351,4546,63.45
9350,7506,63.480000000000004
9349,1277,63.480000000000004
9348,3260,63.480000000000004
9347,1950,63.49999999999999
9346,76,63.49999999999999
9345,2298,63.5
9344,5507,63.50000000000001
9343,7801,63.50000000000001
9342,2561,63.51
9341,2921,63.519999999999996
9340,4466,63.519999999999996
9339,3218,63.540000000000006
9338,9868,63.55
9337,4049,63.550000000000004
9336,3124,63.57000000000001
9335,8029,63.59
9334,6534,63.64
9333,5174,63.64000000000001
9332,6804,63.650000000000006
9331,4793,63.7
9330,7735,63.7
9329,5021,63.7
9328,7069,63.74000000000001
9327,5030,63.780000000000015
9326,3527,63.800000000000004
9325,569,63.80000000000001
9324,8758,63.82000000000001
9323,5744,63.82000000000001
9322,4006,63.82000000000001
9321,3266,63.82000000000001
9320,6461,63.82000000000001
9319,5888,63.83
9318,624,63.84
9317,1622,63.85
9316,3215,63.85
9315,4870,63.85000000000001
9314,8755,63.88000000000001
9313,2714,63.88000000000001
9312,3513,63.88000000000001
9311,3785,63.88000000000001
9310,3257,63.890000000000015
9309,1137,63.900000000000006
9308,8211,63.910000000000004
9307,5539,63.910000000000004
9306,4563,63.92
9305,4871,63.92000000000001
9304,4475,63.92999999999999
9303,6643,63.92999999999999
9302,9304,63.94
9301,594,63.980000000000004
9300,1933,64.0
9299,409,64.01
9298,4900,64.03
9297,379,64.03
9296,3604,64.03000000000002
9295,1545,64.03000000000002
9294,1837,64.08000000000001
9293,3658,64.09000000000002
9292,6506,64.09000000000002
9291,6440,64.09000000000002
9290,3752,64.13
9289,4149,64.13000000000001
9288,3417,64.13000000000001
9287,7066,64.14
9286,9365,64.14
9285,9182,64.14000000000001
9284,6495,64.17
9283,2860,64.17
9282,3435,64.17999999999999
9281,1158,64.2
9280,8355,64.2
9279,7392,64.24000000000001
9278,1392,64.24000000000001
9277,2125,64.26
9276,3550,64.28
9275,2156,64.29
9274,1625,64.32
9273,4256,64.32000000000001
9272,74,64.33000000000001
9271,5995,64.33000000000001
9270,6500,64.35000000000001
9269,3166,64.36
9268,27,64.36
9267,3855,64.36000000000001
9266,551,64.38
9265,3884,64.38000000000001
9264,9919,64.38000000000001
9263,1548,64.38000000000001
9262,1733,64.38000000000001
9261,7081,64.38000000000001
9260,3789,64.38000000000001
9259,3386,64.38000000000001
9258,1723,64.39
9257,7136,64.39
9256,1896,64.41
9255,3069,64.41
9254,509,64.42
9253,5584,64.43
9252,7826,64.44000000000001
9251,2053,64.44000000000001
9250,4682,64.44000000000001
9249,2521,64.45
9248,1399,64.45
9247,5095,64.46000000000001
9246,1497,64.48000000000002
9245,5611,64.51
9244,4088,64.56
9243,1417,64.59
9242,7103,64.60000000000001
9241,7899,64.62
9240,6653,64.63000000000001
9239,2067,64.64
9238,2446,64.64
9237,5987,64.65
9236,380,64.66000000000001
9235,884,64.66000000000001
9234,2905,64.67
9233,1011,64.69000000000001
9232,3222,64.72000000000001
9231,3420,64.72000000000001
9230,6323,64.73
9229,1195,64.74
9228,2313,64.76
9227,6782,64.76
9226,2629,64.76
9225,108,64.77000000000001
9224,5861,64.78999999999999
9223,7936,64.82
9222,7344,64.82000000000001
9221,7402,64.83
9220,893,64.83000000000001
9219,2105,64.87
9218,8351,64.88000000000001
9217,5322,64.89000000000001
9216,4864,64.96000000000001
9215,8740,64.96000000000001
9214,3947,64.97000000000001
9213,6379,64.97000000000001
9212,8331,64.99000000000001
9211,329,64.99000000000001
9210,5086,65.01
9209,1786,65.01000000000002
9208,9388,65.03
9207,4541,65.06
9206,7830,65.07000000000001
9205,9111,65.07000000000001
9204,3498,65.07000000000001
9203,691,65.09
9202,4416,65.11000000000001
9201,2403,65.12
9200,5249,65.12
9199,7934,65.14
9198,1569,65.16
9197,2288,65.17
9196,595,65.17
9195,9091,65.20000000000002
9194,5876,65.22
9193,6070,65.22000000000001
9192,1633,65.23
9191,2291,65.24000000000001
9190,792,65.25
9189,8309,65.28000000000002
9188,6821,65.29
9187,2839,65.32000000000001
9186,1847,65.32000000000001
9185,4947,65.32000000000001
9184,7534,65.35000000000001
9183,8091,65.36000000000001
9182,4946,65.36000000000001
9181,3213,65.37
9180,8240,65.38000000000001
9179,6023,65.38000000000001
9178,6593,65.39
9177,5981,65.39
9176,5764,65.41
9175,7264,65.55
9174,8209,65.55000000000001
9173,6161,65.56000000000002
9172,4586,65.56000000000002
9171,9787,65.57000000000001
9170,2059,65.59
9169,4732,65.6
9168,5422,65.6
9167,8544,65.60000000000001
9166,2177,65.61000000000001
9165,175,65.62
9164,1657,65.62
9163,1787,65.67
9162,2504,65.67
9161,675,65.67
9160,6685,65.67999999999999
9159,4000,65.69
9158,894,65.71000000000001
9157,8406,65.77
9156,9334,65.80000000000001
9155,2354,65.82
9154,4339,65.85000000000001
9153,3515,65.85000000000001
9152,4571,65.91000000000001
9151,3864,65.91000000000001
9150,3356,65.92
9149,7916,65.94000000000001
9148,4161,65.95
9147,1829,65.95000000000002
9146,202,65.98
9145,3647,66.0
9144,5660,66.01000000000002
9143,5523,66.03
9142,2448,66.03
9141,7390,66.03000000000002
9140,4241,66.04
9139,1834,66.06
9138,2575,66.08
9137,4688,66.08
9136,2666,66.1
9135,2849,66.12
9134,4959,66.13000000000001
9133,4974,66.15
9132,9730,66.16000000000001
9131,9781,66.2
9130,8415,66.2
9129,1466,66.22
9128,5129,66.23
9127,6861,66.24000000000001
9126,2667,66.28999999999999
9125,6588,66.30000000000001
9124,6773,66.32
